ID,TIMESTAMP,BATCUR,BATT,BATTMP,BRAKE,DIST,LAPS,MOTTMP,RPM,SPEED,THRTL,VOLT,LAT,LONG
101,2026-05-15 15:38:48.027,241.26,99.93,30.04,0.0,0.04,1,40.14,0,1.4,98.5,390.0,45.5017,-73.546734
101,2026-05-15 15:38:48.127,245.14,99.87,30.07,0.0,0.12,1,40.29,41,2.9,100.0,390.4,45.5017,-73.546735
101,2026-05-15 15:38:48.227,244.27,99.8,30.11,0.0,0.24,1,40.44,340,4.3,100.0,390.0,45.5017,-73.546734
101,2026-05-15 15:38:48.327,248.13,99.73,30.15,0.0,0.4,1,40.58,255,5.7,100.0,389.9,45.5017,-73.546735
101,2026-05-15 15:38:48.427,237.62,99.67,30.18,0.0,0.6,1,40.72,352,7.2,98.0,390.3,45.5017,-73.546735
101,2026-05-15 15:38:48.527,240.4,99.61,30.22,0.0,0.83,1,40.86,387,8.6,97.7,390.6,45.5017,-73.546736
101,2026-05-15 15:38:48.627,240.76,99.54,30.25,0.0,1.11,1,41.0,477,10.0,98.7,390.2,45.5017,-73.546737
101,2026-05-15 15:38:48.727,242.43,99.47,30.29,0.0,1.43,1,41.14,410,11.4,99.4,389.8,45.5017,-73.546736
101,2026-05-15 15:38:48.827,245.51,99.41,30.33,0.0,1.78,1,41.28,616,12.8,100.0,389.9,45.5017,-73.546736
101,2026-05-15 15:38:48.927,245.22,99.34,30.36,0.0,2.18,1,41.42,570,14.3,99.5,389.8,45.5017,-73.546736
101,2026-05-15 15:38:49.027,247.56,99.27,30.4,0.0,2.62,1,41.56,856,15.7,100.0,389.7,45.5017,-73.546737
101,2026-05-15 15:38:49.127,246.06,99.21,30.44,0.0,3.09,1,41.7,707,17.1,98.6,389.0,45.5017,-73.546736
101,2026-05-15 15:38:49.227,245.35,99.14,30.47,0.0,3.61,1,41.84,898,18.6,100.0,389.9,45.5017,-73.546737
101,2026-05-15 15:38:49.327,239.37,99.08,30.51,0.0,4.17,1,41.97,735,20.0,96.8,389.8,45.5017,-73.546737
101,2026-05-15 15:38:49.427,243.97,99.01,30.54,0.0,4.76,1,42.1,869,21.4,99.0,389.7,45.501781,-73.546762
101,2026-05-15 15:38:49.527,236.89,98.95,30.58,0.0,5.39,1,42.23,1013,22.8,98.3,389.9,45.501781,-73.546763
101,2026-05-15 15:38:49.627,243.54,98.88,30.62,0.0,6.07,1,42.36,828,24.3,100.0,389.8,45.501781,-73.546763
101,2026-05-15 15:38:49.727,244.26,98.81,30.65,0.0,6.78,1,42.5,935,25.7,99.0,389.4,45.501781,-73.546763
101,2026-05-15 15:38:49.827,236.84,98.75,30.69,0.0,7.53,1,42.62,954,27.1,96.4,390.0,45.501781,-73.546763
101,2026-05-15 15:38:49.927,248.48,98.68,30.72,0.0,8.33,1,42.76,1110,28.5,100.0,389.3,45.501781,-73.546764
101,2026-05-15 15:38:50.027,237.55,98.62,30.76,0.0,9.16,1,42.88,1362,29.9,97.7,389.3,45.501862,-73.546791
101,2026-05-15 15:38:50.127,244.46,98.55,30.79,0.0,10.03,1,43.01,1297,31.3,99.2,389.0,45.501862,-73.546791
101,2026-05-15 15:38:50.227,245.35,98.49,30.83,0.0,10.94,1,43.14,1373,32.8,100.0,389.6,45.501862,-73.54679
101,2026-05-15 15:38:50.327,240.56,98.42,30.86,0.0,11.89,1,43.27,1473,34.2,98.2,389.2,45.501863,-73.54679
101,2026-05-15 15:38:50.427,245.75,98.36,30.9,0.0,12.88,1,43.4,1561,35.6,100.0,389.4,45.501863,-73.54679
101,2026-05-15 15:38:50.527,241.04,98.29,30.94,0.0,13.91,1,43.52,1538,37.1,99.0,389.7,45.501944,-73.546819
101,2026-05-15 15:38:50.627,241.26,98.22,30.97,0.0,14.98,1,43.64,1623,38.5,97.4,389.3,45.501944,-73.546818
101,2026-05-15 15:38:50.727,245.52,98.16,31.01,0.0,16.08,1,43.77,1697,39.9,100.0,389.2,45.501944,-73.546818
101,2026-05-15 15:38:50.827,243.53,98.09,31.04,0.0,17.23,1,43.89,1680,41.3,99.2,389.1,45.502026,-73.546847
